
Consulta: 1. Consultar escolas com mais de uma fonte de água
('EDUCANDARIO MONTEIRO LOBATO', 7)
('EDUCANDARIO NOSSA SENHORA APARECIDA', 7)
('ESCOLA MUNICIPAL CRISTO REDENTOR', 7)
('EMEF NOSSA SENHORA DO ROSARIO', 7)
('EMEF NOSSA SENHORA DE NAZARE', 7)
('EMEF NOSSA SENHORA DA CONCEICAO', 7)
('TABLEAU COLEGIO', 7)
('E M E F MONTEIRO LOBATO', 7)
('COLEGIO DOS SANTOS ANJOS', 7)
('SESC SERVICO SOCIAL DO COMERCIO', 7)
('CHAPEUZINHO VERMELHO C M E I', 7)
('COLEGIO NOVA GERACAO', 7)
('SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS', 7)
('CENTRO EDUCACIONAL SAO FRANCISCO DE ASSIS', 7)
('EDUCANDARIO SAO JOSE', 7)
('ESCOLA ESTADUAL DUQUE DE CAXIAS', 7)
('ESCOLA MUNICIPAL DE EDUCACAO BASICA RUI BARBOSA', 7)
('CRECHE SANTO ANTONIO', 7)
('COLEGIO NOSSA SENHORA DAS DORES', 7)
('COLEGIO NOSSA SENHORA APARECIDA', 7)
('EM PRESIDENTE TANCREDO NEVES', 7)
('SAO JOSE C M E I', 7)
('ESCOLA RECANTO FELIZ', 7)
('ESCOLA RECANTO DO SABER', 7)
